SightID:ID,Name_CN,Name_EN,URL,:LABEL
sight_0063,星光之城,The Star Sydney,https://you.ctrip.com/sight/pyrmont2126870/1412741.html,Sight
sight_0064,悉尼新年烟火表演,New Year Fireworks Show in Sydney,https://you.ctrip.com/sight/sydney236/1412725.html,Sight
sight_0065,州立剧院,State Theatre,https://you.ctrip.com/sight/sydney236/1412708.html,Sight
sight_0066,手指码头,Finger Wharf,https://you.ctrip.com/sight/wollongong2126918/1412346.html,Sight
sight_0067,曼利风景区走道,Manly Scenic Walkway,https://you.ctrip.com/sight/sydney236/1734455.html,Sight
sight_0068,悉尼海港大桥的塔式观景台,Pylon Lookout at Sydney Harbour Bridge,https://you.ctrip.com/sight/dawespoint2126532/1734364.html,Sight
sight_0069,麦夸里灯塔,Macquarie Lighthouse,https://you.ctrip.com/sight/vaucluse2126882/1699358.html,Sight
sight_0070,悉尼圣劳伦斯教堂,Christ Church St Laurence,https://you.ctrip.com/sight/haymarket2126388/1412580.html,Sight
sight_0071,双湾,Double Bay,https://you.ctrip.com/sight/edgecliff2014429/137175.html,Sight
sight_0072,岩石区探索博物馆,The Rocks Discovery Museum,https://you.ctrip.com/sight/therocks2127185/1734466.html,Sight
sight_0073,卡德曼小屋,Cadmans Cottage,https://you.ctrip.com/sight/therocks2127185/1412330.html,Sight
sight_0074,伊莉莎白海湾宅邸,Elizabeth Bay House,https://you.ctrip.com/sight/elizabethbay2126753/13617.html,Sight
sight_0075,悉尼音乐学院,Sydney Conservatorium of Music,https://you.ctrip.com/sight/therocks2127185/1734531.html,Sight
sight_0076,旧海关大楼,Customs House,https://you.ctrip.com/sight/therocks2127185/1412357.html,Sight
sight_0077,Tall Ship James Craig,James Craig Tall Ship,https://you.ctrip.com/sight/sydney236/2053333.html,Sight
sight_0078,Ocean Tracker游轮观鲸之旅,Ocean Tracker Dolphin Watching Cruise,https://you.ctrip.com/sight/sydney236/2481238.html,Sight
sight_0079,树顶探险公园,Treetop Adventure Park,https://you.ctrip.com/sight/sydney236/1412689.html,Sight
sight_0080,银滩,Silver Beach,https://you.ctrip.com/sight/kurnell1465026/1734464.html,Sight
sight_0081,亚奇伯德喷泉,Archibald Fountain,https://you.ctrip.com/sight/sydney236/1734423.html,Sight
sight_0082,悉尼医院,Sydney Hospital and Sydney Eye Hospital : Emergency Room,https://you.ctrip.com/sight/sydney236/1412338.html,Sight
sight_0083,奥林匹克体育馆,Olympic Stadium,https://you.ctrip.com/sight/sydneyolympicpark2126793/1734526.html,Sight
sight_0084,皮尔蒙特港湾,Pyrmont Bay,https://you.ctrip.com/sight/pyrmont2126870/1409977.html,Sight
sight_0085,澳大利亚爬行动物公园,Australian Reptile Park,https://you.ctrip.com/sight/somersby15935/1837946.html,Sight
sight_0086,悉尼海港露天歌剧,Handa Opera on Sydney Harbour,https://you.ctrip.com/sight/pottspoint2126969/136526.html,Sight
sight_0087,沃克鲁斯豪宅,Vaucluse House,https://you.ctrip.com/sight/vaucluse2126882/1412612.html,Sight
sight_0088,迪为什么海滩,Dee Why Beach,https://you.ctrip.com/sight/deewhy2127165/1734449.html,Sight
sight_0089,巴尔莫勒尔海滩,Balmoral Beach,https://you.ctrip.com/sight/mosman2126825/1412411.html,Sight
sight_0090,悉尼大学西摩中心,Seymour Centre,https://you.ctrip.com/sight/camperdown2126872/4480663.html,Sight
sight_0091,百年农场亲近动物体验,Experience of One Hundred Years Farm Close to Animals,https://you.ctrip.com/sight/sydney236/2478736.html,Sight
sight_0092,秃岛,Bare Island,https://you.ctrip.com/sight/laperouse2126404/1834149.html,Sight
sight_0093,曼利海洋生物保护区,Aquarium World Manly,https://you.ctrip.com/sight/manly2126991/1752407.html,Sight
sight_0094,摩尔公园,Moore Park,https://you.ctrip.com/sight/moorepark2126715/1412387.html,Sight
sight_0095,司法和警察博物馆,Justice and Police Museum,https://you.ctrip.com/sight/therocks2127185/1734365.html,Sight
sight_0096,猎人谷热气球飞行,Hunter Valley Hot Air Balloon Flights,https://you.ctrip.com/sight/sydney236/2479542.html,Sight
sight_0097,帕拉马塔河,Parramatta River,https://you.ctrip.com/sight/sydney236/1832876.html,Sight
sight_0098,悉尼海港,Sydney Harbor,https://you.ctrip.com/sight/sydney236/1834566.html,Sight
sight_0099,天文台山,Observatory Hill,https://you.ctrip.com/sight/millerspoint2126570/1734519.html,Sight
sight_0100,圣詹姆斯教堂,St. James Church,https://you.ctrip.com/sight/sydney236/1734496.html,Sight
sight_0101,维多利亚兵营,Victoria Barracks,https://you.ctrip.com/sight/paddington2014457/1412613.html,Sight
sight_0102,水动力艺术馆,Aquabumps,https://you.ctrip.com/sight/bondibeach2127204/1412616.html,Sight
sight_0103,东湖高尔夫俱乐部,Eastlake Golf Club,https://you.ctrip.com/sight/eastlakes2127158/64123.html,Sight
